x,y,z,
0.074707,1.02667,0.133423,
0.0460205,0.816833,0.0638428,
0.0591431,0.708496,0.00500488,
0.100891,0.711365,-0.0354614,
0.10907,0.738159,-0.0618896,
0.117188,0.754028,-0.0600586,
0.107056,0.779175,-0.0305786,
0.114929,0.804443,0.0164795,
0.0842896,0.768555,0.069458,
0.027771,0.731323,0.114624,
-0.0133057,0.720032,0.137451,
-0.0045166,0.769531,0.162476,
0.0462036,0.854248,0.185364,
0.0377197,0.921265,0.196655,
0.048645,0.950073,0.190613,
0.0864868,0.92804,0.148621,
0.115662,0.887756,0.112915,
0.150024,0.866089,0.083374,
0.182983,0.872742,0.0669556,
0.21106,0.928955,0.0384521,
0.248413,0.980652,0.0617065,
0.22644,1.0105,0.0892944,
0.229797,1.03198,0.121521,
0.241455,1.02759,0.147217,
0.264038,1.02985,0.18689,
0.244324,1.02734,0.200684,
0.257874,1.10211,0.212646,
0.271423,1.30725,0.23407,
0.292542,1.52966,0.273926,
0.287476,1.51208,0.301025,
0.216675,1.25153,0.264282,
0.181213,0.958496,0.1922,
0.164246,0.756226,0.118225,
0.178589,0.728455,0.0792847,
0.20282,0.843872,0.104126,
0.185303,0.952942,0.132446,
0.133057,0.933594,0.142944,
0.0617676,0.860229,0.143494,
0.0249634,0.796387,0.131775,
0.0067749,0.772949,0.121643,
0.00860596,0.801392,0.129456,
0.0209961,0.869019,0.133057,
0.00933838,0.897278,0.147949,
-0.0232544,0.875122,0.145386,
-0.0113525,0.830078,0.123108,
0.0192871,0.774719,0.0928345,
0.0354614,0.736511,0.0856934,
0.0578613,0.75177,0.0860596,
0.0856934,0.751648,0.0975952,
0.0838623,0.755066,0.131287,
0.0977783,0.791199,0.148132,
0.11499,0.880371,0.146912,
0.132996,1.00665,0.169495,
0.119812,1.12311,0.224609,
0.141907,1.16425,0.276428,
0.139221,1.17963,0.28479,
0.168945,1.21948,0.319092,
0.135803,1.27991,0.357117,
0.0805664,1.33801,0.407654,
0.0639648,1.30627,0.443604,
0.0668335,1.16113,0.394043,
0.0608521,0.993713,0.299133,
0.0560913,0.935364,0.244873,
0.0457153,0.972229,0.187744,
0.0679932,0.984192,0.12616,
0.103821,0.976318,0.0814209,
0.130188,0.961975,0.086853,
0.0654907,0.899292,0.126587,
-0.0239258,0.819519,0.163025,
-0.0151367,0.787537,0.15509,
0.0449829,0.822937,0.166931,
0.0958862,0.856995,0.205566,
0.108276,0.844116,0.234802,
0.0895996,0.810425,0.250122,
0.046936,0.81604,0.267334,
0.0582275,0.825989,0.280823,
0.0887451,0.855347,0.288269,
0.141174,0.863464,0.270142,
0.155273,0.838257,0.281128,
0.120056,0.800964,0.303345,
0.13678,0.814575,0.324768,
0.177612,0.839172,0.329163,
0.213989,0.896484,0.349976,
0.197205,0.99469,0.364685,
0.170105,1.06378,0.401794,
0.11499,1.09338,0.441345,
0.124512,1.0708,0.437439,
0.156372,1.04987,0.402954,
0.147949,1.05432,0.397339,
0.107544,1.07373,0.386475,
0.0803223,1.08044,0.387939,
0.0557251,0.974548,0.369446,
0.0723877,0.817078,0.335022,
0.0927124,0.71814,0.280273,
0.133362,0.704346,0.271484,
0.145874,0.82312,0.290039,
0.122131,0.953918,0.327271,
0.0626221,1.03931,0.364868,
0.0250244,1.06946,0.385498,
0.0263672,1.01636,0.385437,
